Maynard James Keenan,2/9/1979,10
Adam Jones,6/4/2010,6
Danny Carey,9/27/2014,800
Justin Chancellor,1/20/1973,23
Billy Howerdel,5/16/1980,978
James Iha,2/9/1979,27635
Matt McJunkins,6/4/2010,98651
Jeff Friedl,9/27/2014,529
Danny Carey,1/20/1973,10
Justin Chancellor,5/16/1980,6
Billy Howerdel,9/9/2018,800
James Iha,1/2/1967,1062
Maynard James Keenan,4/27/1998,1457
Adam Jones,9/9/2018,1852
Billy Howerdel,1/2/1967,98651
James Iha,4/27/1998,529
Matt McJunkins,1/20/1973,55168
Jeff Friedl,5/16/1980,65037
